Start	Function name
00413220	Board_KillAllZombieOnceSample
00413260	Board_GetTotalWaveCount
00413320	Board_WriteSurvivalFlagRecord
00413390	Boord_RenueIZFlagRecord
00413400	Board_Fail
004138D0	Board_If_LevelVBWillEnd
00413920	Board_If_NowSurvivalEnd
004139E0	Board_If_SurvivalNotEnd
00413A10	Board_If_LSNotEnd
00413A40	Board_If_NowLevelEnd
00413A70	Board_SunDropUpdate
00413C00	do_str_show_last_wave_tr
00413D00	Board_LevelProgressUpdate
00414100	Board_RowIceUpdate
00414270	Board_UpdateProcessBar
004144E0	Board_UpdateAdvice
00414CB0	Board_ShowAdvice
00415920	Board_UpdateMain
00415D40	Board_Update
00416080	Board_TidyDialogList
00416110	Board_If_RowExistSpawn
00416140	Board_DrawRowIce
00416290	Board_DrawBasic
004166C0	sub_4166C0
00416880	Board_DrawAll
004173C0	Board_If_LevelHaveProcessbar
00417450	Board_If_LevelProcessbarNoMeter
00417500	Board_DrawProcessbar
00417C80	Board_DrawLoseBottomLayer
00417CF0	Board_DrawLoseTopLayer
00417DA0	Board_DrawLevelName
004182D0	Board_DrawGardenCart
00418500	Board_DrawGardenTools
00418B70	Board_DrawTools
00418C70	Board_DrawDebugText
00419AE0	Board_DrawCollisionRect
00419EB0	Board_DrawLevelendChangingScreen
00419F60	Board_DrawBtn
0041A0A0	Board_DrawGarden
0041A2A0	Board_DrawCMoneyValue
0041A430	Board_CircleClearFog
0041A5D0	Board_UpdateFog
0041A730	Board_DarwFogs
0041AA00	Board_If_VBLevelendDave
0041AA40	Board_DrawAddition??
0041ACF0	Board_Draw
0041AE60	Board_Mustache
0041AF00	Board_Future
0041AF60	Board_Pinata
0041AFD0	Board_Dance
0041B0D0	Board_Trickedout
0041B1D0	Board_TrySecrets
0041B820	Board_KeyDown
0041B950	nullsub_2
0041B960	Board_SunValueIncrease
0041B980	Board_GetItemSunValueSum
0041B9F0	Board_GetItemMoneyValueSum
0041BA60	Board_TrySpendSun
0041BAB0	Board_If_SunValueEnough
0041BAD0	Board_CleanEntityNodes
0041BE50	Board_If_LevelConveyer
0041BEE0	Board_GetInitCardCount
0041C010	Board_If_YardInNight
0041C040	Board_If_LevelHaveGrave
0041C0B0	Board_If_YardOnRoof
0041C0D0	Board_If_YardHavePool
0041C0F0	Board_If_LevelNoRake
0041C170	Board_If_LevelNoFog
0041C1C0	Board_GetNoFogColNum
0041C210	Board_GetInitCardX_Rank
0041C290	r_seeds_wid_externed
0041C2D0	Board_GetHandCardCol
0041C320	Board_GetHandCardRow
0041C4C0	Board_GetPointCol
0041C530	Board_GetPointCol_
0041C550	Board_GetPointRow
0041C650	Board_GetPointRow_
0041C680	Board_ColToX
0041C6C0	Board_XToY_Fixed
0041C740	Board_XToY
0041C7F0	Board_GetIDZombie
0041C820	If_Rect_Rect_XCover_Length
0041C850	If_Rect_Circle_Cover
0041C8F0	Board_Next_ZombieNode
0041C950	Board_Next_PlantNode
0041C9B0	Board_Next_BulletNode
0041CA10	Board_Next_ItemNode
0041CA70	Board_Next_MowerNode
0041CAD0	Board_Next_BuildingNode
0041CB30	Board_Next_ParticleSystemNode
0041CB90	Board_Next_ParticleNode
0041CBF0	Board_ZombieBomb
0041CC60	Board_GetCardShowStateFlag
0041CD70	Board_GetTypeItemCount
0041CDB0	Board_NewRndDropItem
0041D2C0	Board_If_CanHaveMoney
0041D320	Board_If_GridExistBongee
0041D390	Board_GetZomboss
0041D3D0	Board_GetGridNearUmbrellaleaf
0041D450	Board_RowSetFire
0041D630	Board_UpdateRowFire
0041D730	Board_UpdateBuildings
0041D7D0	Board_If_CardTypeUpgradeable
0041D8A0	Board_PlantBomb
0041DA10	Board_GetLevelMaxFlagCount
0041DA50	Board_KillTypeAllParticleSystem
0041DA90	If_CardTypePriceRiseable
0041DAE0	GetTypeCardPrice_Fixed
0041DB40	Board_If_GardenToolExist
0041DC40	If_RectRectCover
0041DC70	String_AddEql
0041DDA0	ZombieList_NewZombie
0041DE20	ZombieList_GetIDZombie
0041DE80	PlantList_NewPlant
0041DF00	PlantList_GetIDPlant
0041DF60	BulletList_NewBullet
0041E040	ItemList_NewItem
0041E120	MowerList_NewMower
0041E1C0	BuildingList_NewBuilding
0041E240	AnimList_NewAnim
0041E290	Str_plus
0041E340	String_AddEqs_0
0041E3E0	sub_41E3E0
0041E4D0	ZombieList_Clear
0041E590	PlantList_Clear
0041E600	BulletList_Clear
0041E6B0	ItemList_Clear
0041E760	MowerList_Clear
0041E7D0	BuildingList_Clear
0041E840	LayerList_Qsort
0041E980	LayerList_QsortGetAxis
0041EC40	LayerList_Ssort
0041ECD0	sub_41ECD0
0041ED80	sub_41ED80
0041EDF0	sub_41EDF0
0041EE80	sub_41EE80
0041EF10	sub_41EF10
0041EFC0	sub_41EFC0
0041F050	sub_41F050
0041F160	String_SetCopy
0041F190	Sin
0041F1B0	_New_Levelprop
0041F320	LevelProp_BejeveledGetPlantMatrix
0041F380	LevelProp_Init
0041F6E0	LevelProp_StartBattleInit
00420150	Matrix_If_GridTurnNoCrater
00420190	Matrix_If_GridTurnable
00420220	LevelProp_Bejevele_If_PointInTurnRange
00420280	LevelProp_Bejevele2GridClick
00420670	LevelProp_BejeveleMove
004206E0	Matrix_If_GridSwapable
00420760	LevelProp_BejeveleGridDrag
00420A50	LevelProp_BejeveleGridVanishRow
00420B60	LevelProp_BejeveleGridVanishCol
00420C60	LevelProp_BejeveleGridPlantMove
00420D50	LevelProp_BejevelePlantsMove
00420DB0	LevelProp_BejeveleSetCraterCard
00420E10	LevelProp_BejeveleGridKillCrater
00420EF0	LevelProp_BejeveleVanishHook
00421430	LevelProp_BejeveledTryVanishPlants
004214C0	MatrixGrid_GetRowLineNum
00421520	MatrixGrid_GetColLineNum
00421590	Matrix_If_Line
004215E0	LevelProp_BejeveleSetPlant
004216E0	LevelProp_BejeveleFillEmptyPlants
00421750	LevelProp_BejeveleNewPlants
00421810	LevelProp_BejeveledFillEmptyPlant
00421890	LevelProp_Bejeveled_If_Actable
00421920	LevelProp_MouseDrag
004219B0	LevelProp_GetSlotmachineMouseText
00421B10	LevelProp_HamerHit
00421E10	LevelProp_VBLevelendDaveAnyact
00421F10	LevelProp_PointedThingClick
004221B0	Slot_GetPullRect
004221E0	LevelProp_Bejeveled_AdviceMatchThree
00422290	LevelProp_InitMouseState
004222F0	LevelProp_BejeveledPlantFall
00422480	LevelProp_BejeveledGridPlantShine
00422510	LevelProp_BejeveledGridTurnablePlantsShine
00422770	LevelProp_BejeveledGridLineablePlantsShine
004228E0	LevelProp_SetPlantsShineCountdown
00422930	LevelProp_BejeveledActablePlantsShine
004229F0	LevelProp_UpdateBejeweledEffect
00422CD0	LevelProp_UpdateConveyerEffect
004234A0	LevelProp_UpdateSeedrainEffect
00423670	LevelProp_UpdateThunderEffect
00423800	LevelProp_UpdateSlotmachineEffect
004244C0	LevelProp_Bejeveled_AdviceUnactable
00424590	LevelProp_Bejeveled_AdviceUseCrater
004246B0	LevelProp_UpdateEffect
004249F0	LevelProp_GetGridShadow
00424A40	LevelProp_LevelAchievedTast
00424C90	LevelProp_ShadowlevelTryAchieve
00424DE0	LevelProp_DrawShadowPlants
00424FB0	LevelProp_DrawBejeweled
004251E0	LevelProp_DrawSlotmachine
